Zone,Price,Weight,Service
7,$7.99 ,16,DHL SmartMail Parcel Expedited Max
8,$4.77 ,1,DHL SmartMail Parcel Expedited Max
8,$4.77 ,2,DHL SmartMail Parcel Expedited Max
8,$4.77 ,3,DHL SmartMail Parcel Expedited Max
8,$4.78 ,4,DHL SmartMail Parcel Expedited Max
8,$5.16 ,5,DHL SmartMail Parcel Expedited Max
8,$5.34 ,6,DHL SmartMail Parcel Expedited Max
8,$5.53 ,7,DHL SmartMail Parcel Expedited Max
8,$5.72 ,8,DHL SmartMail Parcel Expedited Max
8,$6.30 ,9,DHL SmartMail Parcel Expedited Max
8,$6.48 ,10,DHL SmartMail Parcel Expedited Max
8,$6.68 ,11,DHL SmartMail Parcel Expedited Max
8,$6.86 ,12,DHL SmartMail Parcel Expedited Max
8,$7.46 ,13,DHL SmartMail Parcel Expedited Max
8,$7.64 ,14,DHL SmartMail Parcel Expedited Max
8,$7.81 ,15,DHL SmartMail Parcel Expedited Max
8,$8.01 ,16,DHL SmartMail Parcel Expedited Max
11,$6.66 ,1,DHL SmartMail Parcel Expedited Max
11,$6.66 ,2,DHL SmartMail Parcel Expedited Max
11,$6.66 ,3,DHL SmartMail Parcel Expedited Max
11,$6.66 ,4,DHL SmartMail Parcel Expedited Max
11,$7.05 ,5,DHL SmartMail Parcel Expedited Max
11,$7.05 ,6,DHL SmartMail Parcel Expedited Max
11,$7.05 ,7,DHL SmartMail Parcel Expedited Max
11,$7.05 ,8,DHL SmartMail Parcel Expedited Max
11,$8.16 ,9,DHL SmartMail Parcel Expedited Max
11,$8.16 ,10,DHL SmartMail Parcel Expedited Max
11,$8.16 ,11,DHL SmartMail Parcel Expedited Max
11,$8.16 ,12,DHL SmartMail Parcel Expedited Max
11,$9.98 ,13,DHL SmartMail Parcel Expedited Max
11,$9.98 ,14,DHL SmartMail Parcel Expedited Max
11,$9.98 ,15,DHL SmartMail Parcel Expedited Max
11,$9.98 ,16,DHL SmartMail Parcel Expedited Max
12,$6.66 ,1,DHL SmartMail Parcel Expedited Max
12,$6.66 ,2,DHL SmartMail Parcel Expedited Max
12,$6.66 ,3,DHL SmartMail Parcel Expedited Max
12,$6.66 ,4,DHL SmartMail Parcel Expedited Max
12,$7.05 ,5,DHL SmartMail Parcel Expedited Max
12,$7.05 ,6,DHL SmartMail Parcel Expedited Max
12,$7.05 ,7,DHL SmartMail Parcel Expedited Max
12,$7.05 ,8,DHL SmartMail Parcel Expedited Max
12,$8.16 ,9,DHL SmartMail Parcel Expedited Max
12,$8.16 ,10,DHL SmartMail Parcel Expedited Max
12,$8.16 ,11,DHL SmartMail Parcel Expedited Max
12,$8.16 ,12,DHL SmartMail Parcel Expedited Max
12,$9.98 ,13,DHL SmartMail Parcel Expedited Max
12,$9.98 ,14,DHL SmartMail Parcel Expedited Max
12,$9.98 ,15,DHL SmartMail Parcel Expedited Max
12,$9.98 ,16,DHL SmartMail Parcel Expedited Max
13,$6.66 ,1,DHL SmartMail Parcel Expedited Max
13,$6.66 ,2,DHL SmartMail Parcel Expedited Max
13,$6.66 ,3,DHL SmartMail Parcel Expedited Max
13,$6.66 ,4,DHL SmartMail Parcel Expedited Max
13,$7.05 ,5,DHL SmartMail Parcel Expedited Max
13,$7.05 ,6,DHL SmartMail Parcel Expedited Max
13,$7.05 ,7,DHL SmartMail Parcel Expedited Max
13,$7.05 ,8,DHL SmartMail Parcel Expedited Max
13,$8.16 ,9,DHL SmartMail Parcel Expedited Max
13,$8.16 ,10,DHL SmartMail Parcel Expedited Max
13,$8.16 ,11,DHL SmartMail Parcel Expedited Max
13,$8.16 ,12,DHL SmartMail Parcel Expedited Max
13,$9.98 ,13,DHL SmartMail Parcel Expedited Max
13,$9.98 ,14,DHL SmartMail Parcel Expedited Max
13,$9.98 ,15,DHL SmartMail Parcel Expedited Max
13,$9.98 ,16,DHL SmartMail Parcel Expedited Max
1,$3.79 ,1,DHL SmartMail Parcel Expedited
1,$3.82 ,2,DHL SmartMail Parcel Expedited
1,$3.87 ,3,DHL SmartMail Parcel Expedited
1,$3.91 ,4,DHL SmartMail Parcel Expedited
1,$4.10 ,5,DHL SmartMail Parcel Expedited
1,$4.14 ,6,DHL SmartMail Parcel Expedited
1,$4.18 ,7,DHL SmartMail Parcel Expedited
1,$4.22 ,8,DHL SmartMail Parcel Expedited
1,$4.52 ,9,DHL SmartMail Parcel Expedited
1,$4.56 ,10,DHL SmartMail Parcel Expedited
1,$4.60 ,11,DHL SmartMail Parcel Expedited
1,$4.63 ,12,DHL SmartMail Parcel Expedited
1,$5.00 ,13,DHL SmartMail Parcel Expedited
1,$5.03 ,14,DHL SmartMail Parcel Expedited
1,$5.10 ,15,DHL SmartMail Parcel Expedited
1,$5.13 ,16,DHL SmartMail Parcel Expedited
2,$3.79 ,1,DHL SmartMail Parcel Expedited
2,$3.82 ,2,DHL SmartMail Parcel Expedited
2,$3.87 ,3,DHL SmartMail Parcel Expedited
2,$3.91 ,4,DHL SmartMail Parcel Expedited
2,$4.10 ,5,DHL SmartMail Parcel Expedited
2,$4.14 ,6,DHL SmartMail Parcel Expedited
2,$4.18 ,7,DHL SmartMail Parcel Expedited
2,$4.22 ,8,DHL SmartMail Parcel Expedited
2,$4.52 ,9,DHL SmartMail Parcel Expedited
2,$4.56 ,10,DHL SmartMail Parcel Expedited
2,$4.60 ,11,DHL SmartMail Parcel Expedited
2,$4.63 ,12,DHL SmartMail Parcel Expedited
2,$5.00 ,13,DHL SmartMail Parcel Expedited
