MarketOrderId,SellerOrderId,SalesChannel,ShipMethod,TrackingNumber,CartonWeight,Carrier,Class,ShippedCarrierCode,MarkupCost,NegotiatedCost
#LC2381US,5.42551E+12,ICL101 ,OTHER STANDARD,`420074179374811015300243816826,0.7875,DHLAPI,DHL SmartMail LWP Expedited,D01,6.31,5.19
#LC2381US,5.42551E+12,ICL101 ,OTHER STANDARD,`420074179374811015300243816826,0.7875,DHLAPI,DHL SmartMail LWP Expedited,D01,6.31,5.19
#99051,244657767,CUS518 ,OTHER STANDARD,`420100139361211015300243941553,2.625,DHLAPI,DHL SmartMail Parcel Expedited,D43,12.17,10.01
#LCU149375,5.31252E+12,ICL101 ,OTHER STANDARD,`420341209374811015300243905193,0.1438,DHLAPI,DHL SmartMail LWP Expedited,D01,4.15,3.41
#LCU149484,5.3127E+12,ICL101 ,OTHER STANDARD,`420775329374811015300243823923,0.7125,DHLAPI,DHL SmartMail LWP Expedited,D01,5.39,4.43
#LCU149323,5.31245E+12,ICL101 ,OTHER STANDARD,`420891309374811015300243814754,0.7125,DHLAPI,DHL SmartMail LWP Expedited,D01,4.73,3.89
#LCU149323,5.31245E+12,ICL101 ,OTHER STANDARD,`420891309374811015300243814754,0.7125,DHLAPI,DHL SmartMail LWP Expedited,D01,4.73,3.89
#LC2371US,5.4254E+12,ICL101 ,OTHER STANDARD,`420940159374811015300243890970,0.1438,DHLAPI,DHL SmartMail LWP Expedited,D01,3.92,3.22
#LC2384US,5.42557E+12,ICL101 ,OTHER STANDARD,`420605459374811015300243767586,0.7938,DHLAPI,DHL SmartMail LWP Expedited,D01,6.14,5.05
#LC2384US,5.42557E+12,ICL101 ,OTHER STANDARD,`420605459374811015300243767586,0.7938,DHLAPI,DHL SmartMail LWP Expedited,D01,6.14,5.05
#LC2384US,5.42557E+12,ICL101 ,OTHER STANDARD,`420605459374811015300243767586,0.7938,DHLAPI,DHL SmartMail LWP Expedited,D01,6.14,5.05
#LC2377US,5.42551E+12,ICL101 ,OTHER STANDARD,`420318039374811015300243829154,0.1188,DHLAPI,DHL SmartMail LWP Expedited,D01,4.01,3.3
#LC2374US,5.42543E+12,ICL101 ,OTHER STANDARD,`420154739374811015300243861604,0.1188,DHLAPI,DHL SmartMail LWP Expedited,D01,4.01,3.3
#LC2380US,5.42551E+12,ICL101 ,OTHER STANDARD,`420783369374811015300243821417,0.2562,DHLAPI,DHL SmartMail LWP Expedited,D01,4.4,3.62
#LC2380US,5.42551E+12,ICL101 ,OTHER STANDARD,`420783369374811015300243821417,0.2562,DHLAPI,DHL SmartMail LWP Expedited,D01,4.4,3.62
#LCU149326,5.31246E+12,ICL101 ,OTHER STANDARD,`420647559374811015300243825910,0.7938,DHLAPI,DHL SmartMail LWP Expedited,D01,5.81,4.78
#LCU149326,5.31246E+12,ICL101 ,OTHER STANDARD,`420647559374811015300243825910,0.7938,DHLAPI,DHL SmartMail LWP Expedited,D01,5.81,4.78
#LCU149363,5.3125E+12,ICL101 ,OTHER STANDARD,`420935369374811015300243762512,0.65,DHLAPI,DHL SmartMail LWP Expedited,D01,4.63,3.81
#LCU149363,5.3125E+12,ICL101 ,OTHER STANDARD,`420935369374811015300243762512,0.65,DHLAPI,DHL SmartMail LWP Expedited,D01,4.63,3.81
#LCU149363,5.3125E+12,ICL101 ,OTHER STANDARD,`420935369374811015300243762512,0.65,DHLAPI,DHL SmartMail LWP Expedited,D01,4.63,3.81
#LCU149581,5.31283E+12,ICL101 ,OTHER STANDARD,`420770589374811015300244176257,0.5875,DHLAPI,DHL SmartMail LWP Expedited,D01,5.17,4.25
#LCU149581,5.31283E+12,ICL101 ,OTHER STANDARD,`420770589374811015300244176257,0.5875,DHLAPI,DHL SmartMail LWP Expedited,D01,5.17,4.25
#LC2394US,5.42567E+12,ICL101 ,OTHER STANDARD,`420809229374811015300244138958,0.2188,DHLAPI,DHL SmartMail LWP Expedited,D01,4.11,3.38
#LCU149526,5.31274E+12,ICL101 ,OTHER STANDARD,`420164339361211015300244153900,1.2688,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.68,7.96
#LCU149526,5.31274E+12,ICL101 ,OTHER STANDARD,`420164339361211015300244153900,1.2688,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.68,7.96
#LCU149526,5.31274E+12,ICL101 ,OTHER STANDARD,`420164339361211015300244153900,1.2688,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.68,7.96
#LCU149526,5.31274E+12,ICL101 ,OTHER STANDARD,`420164339361211015300244153900,1.2688,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.68,7.96
#LCU149526,5.31274E+12,ICL101 ,OTHER STANDARD,`420164339361211015300244153900,1.2688,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.68,7.96
#LCU149526,5.31274E+12,ICL101 ,OTHER STANDARD,`420164339361211015300244153900,1.2688,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.68,7.96
#LCU149526,5.31274E+12,ICL101 ,OTHER STANDARD,`420164339361211015300244153900,1.2688,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.68,7.96
#LCU149533,5.31275E+12,ICL101 ,OTHER STANDARD,`420276069361211015300244176169,1,DHLAPI,DHL SmartMail Parcel Expedited,D43,7.36,6.05
#LCU149533,5.31275E+12,ICL101 ,OTHER STANDARD,`420276069361211015300244176169,1,DHLAPI,DHL SmartMail Parcel Expedited,D43,7.36,6.05
#LCU149533,5.31275E+12,ICL101 ,OTHER STANDARD,`420276069361211015300244176169,1,DHLAPI,DHL SmartMail Parcel Expedited,D43,7.36,6.05
#LCU149533,5.31275E+12,ICL101 ,OTHER STANDARD,`420276069361211015300244176169,1,DHLAPI,DHL SmartMail Parcel Expedited,D43,7.36,6.05
#LCU149533,5.31275E+12,ICL101 ,OTHER STANDARD,`420276069361211015300244176169,1,DHLAPI,DHL SmartMail Parcel Expedited,D43,7.36,6.05
#LC2400US,5.42571E+12,ICL101 ,OTHER STANDARD,`420721139374811015300244175274,0.7562,DHLAPI,DHL SmartMail LWP Expedited,D01,6.14,5.05
#LC2400US,5.42571E+12,ICL101 ,OTHER STANDARD,`420721139374811015300244175274,0.7562,DHLAPI,DHL SmartMail LWP Expedited,D01,6.14,5.05
A41731,5.30984E+12,CUS516 ,UPS STANDARD,`1Z5896F10308475139,"48.0000,48.0000","UPS,UPS","UPS® Ground,UPS® Ground","U11,U11",107.54,82.72
